batch_id,amine_smiles,cobalt_smiles,oxidant_smiles,alkali_smiles,solvent_smiles,yield,ee,select_tag
11,CN(C[C@@H]([NH3+])C(C)(C)C)c1ccncc1.O=S(=O)([O-])C(F)(F)F,Mn-1,O=C1c2ccccc2C(=O)N1Cl,CC(=O)O,ClCCCl,0,0,TRUE
11,C[C@H]1COCCN1C[C@@H]([NH3+])C(C)(C)C.O=S(=O)([O-])C(F)(F)F,Co-9,F[N+]12CC[N+](CCl)(CC1)CC2,O=P([O-])([O-])[O-],ClC(Cl)Cl,0,0,TRUE
12,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-9,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,ClC(Cl)Cl,19,81,TRUE
12,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=S(=O)([O-])C(F)(F)F,Co-10,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,20,65,TRUE
12,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-7,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,ClC(Cl)Cl,25,10,TRUE
12,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCl,40,78,TRUE
12,C[n+]1ccn(C[C@@H]([NH3+])C(C)(C)C)c1.O=S(=O)([O-])C(F)(F)F,Mn-2,F[N+]12CC[N+](CCl)(CC1)CC2,C1CN2CCN1CC2,CC#N,0,0,TRUE
13,CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=C([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCl,31,65,TRUE
13,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,47,65,TRUE
13,CN(C[C@@H]([NH3+])C(C)(C)C)c1ccncc1.O=S(=O)([O-])C(F)(F)F,Co-11,Cc1cc(C)[n+](F)c(C)c1,blanck_cell,ClCCl,0,0,TRUE
13,CC(C)(C)[C@H]([NH3+])CN1CCOCC1.O=C([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCl,42,66,TRUE
13,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[NH3+][C@@H]1CCCC[C@H]1N(Cc1ccccc1)Cc1ccccc1,Co-9,F[N+]12CC[N+](CCl)(CC1)CC2,blanck_cell,ClCCCl,44,-4,TRUE
14,CC(C)(C)[C@H]([NH3+])CN1CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,34,74,TRUE
14,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=C([O-])C(F)(F)F,Co-9,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,27,73,TRUE
14,CC(C)(C)NC[C@@H]([NH3+])C(C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,28,33,TRUE
14,CC(C)(C)[C@H]([NH3+])CN1CCC(F)(F)C1.O=C([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,CC#N,25,76,TRUE
14,C[NH+](C)[C@H](CN1CCOCC1)C(C)(C)C.O=S(=O)([O-])C(F)(F)F,Co-9,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,0,0,TRUE
15,CC(C)(C)[C@H]([NH3+])CNC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.O=C([O-])C(F)(F)F,Co-5,O=C1CCC(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,24,62,TRUE
15,CC(C)(C)[C@H]([NH3+])CN1CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Co-5,O=C1c2ccccc2C(=O)N1Cl,O=C(O)c1ccccc1,ClCCCl,32,54,TRUE
